date,day,anchor_time,direction,entry,sl,tp,exit_price,risk_dollars,pnl,rr_achieved,outcome,exit_time
2024-12-10,Tuesday,13:30,long,2676.01,2672.63,2686.15,2686.15,30,90.0,3.0,tp,2024-12-10 14:30:00
2024-12-11,Wednesday,13:30,long,2700.81,2697.11,2711.91,2697.11,30,-30.0,-1.0,sl,2024-12-11 13:40:00
2024-12-12,Thursday,13:30,short,2705.55,2708.9,2695.53,2695.53,30,90.0,3.0,tp,2024-12-12 14:10:00
2024-12-17,Tuesday,13:30,short,2639.28,2643.81,2625.7,2643.81,30,-30.0,-1.0,sl,2024-12-17 13:40:00
2024-12-18,Wednesday,13:30,short,2644.26,2645.72,2639.91,2645.72,30,-30.0,-1.0,sl,2024-12-18 13:50:00
2024-12-19,Thursday,13:30,long,2602.86,2597.33,2619.45,2597.33,30,-30.0,-1.0,sl,2024-12-19 13:50:00
2024-12-20,Friday,13:30,long,2609.71,2605.18,2623.3,2623.3,30,90.0,3.0,tp,2024-12-20 15:15:00
2024-12-24,Tuesday,13:30,long,2613.42,2610.88,2621.04,2610.88,30,-30.0,-1.0,sl,2024-12-24 14:50:00
2024-12-26,Thursday,13:30,short,2624.52,2625.86,2620.51,2625.86,30,-30.0,-1.0,sl,2024-12-26 14:15:00
2024-12-27,Friday,13:30,short,2618.76,2621.21,2611.43,2621.21,30,-30.0,-1.0,sl,2024-12-27 13:40:00
2024-12-31,Tuesday,13:30,short,2613.16,2614.99,2607.65,2614.99,30,-30.0,-1.0,sl,2024-12-31 14:30:00
2025-01-07,Tuesday,13:30,short,2658.26,2661.51,2648.5,2661.51,30,-30.0,-1.0,sl,2025-01-07 13:45:00
2025-01-08,Wednesday,13:30,long,2656.23,2652.03,2668.81,2668.81,30,90.0,3.0,tp,2025-01-08 16:45:00
2025-01-09,Thursday,13:30,long,2676.81,2675.76,2679.95,2675.76,30,-30.0,-1.0,sl,2025-01-09 13:45:00
2025-01-14,Tuesday,13:30,short,2666.58,2669.8,2656.94,2669.8,30,-30.0,-1.0,sl,2025-01-14 15:05:00
2025-01-16,Thursday,13:30,short,2710.1,2714.12,2698.03,2714.12,30,-30.0,-1.0,sl,2025-01-16 13:40:00
2025-01-17,Friday,13:30,short,2705.58,2708.16,2697.86,2708.16,30,-30.0,-1.0,sl,2025-01-17 13:40:00
2025-01-21,Tuesday,13:30,short,2726.44,2729.21,2718.12,2729.21,30,-30.0,-1.0,sl,2025-01-21 13:40:00
2025-01-22,Wednesday,13:30,short,2752.73,2754.19,2748.34,2754.19,30,-30.0,-1.0,sl,2025-01-22 13:40:00
2025-01-23,Thursday,13:30,short,2739.48,2741.18,2734.38,2741.18,30,-30.0,-1.0,sl,2025-01-23 13:45:00
2025-01-24,Friday,13:30,short,2780.36,2782.65,2773.49,2782.65,30,-30.0,-1.0,sl,2025-01-24 13:40:00
2025-01-28,Tuesday,13:30,long,2749.46,2746.15,2759.4,2759.4,30,90.0,3.0,tp,2025-01-28 16:55:00
2025-01-29,Wednesday,13:30,long,2756.49,2755.59,2759.18,2759.18,30,90.0,3.0,tp,2025-01-29 13:55:00
2025-01-30,Thursday,13:30,long,2782.09,2778.66,2792.37,2792.37,30,90.0,3.0,tp,2025-01-30 15:40:00
2025-01-31,Friday,13:30,long,2805.92,2802.72,2815.52,2815.52,30,90.0,3.0,tp,2025-01-31 15:10:00
2025-02-04,Tuesday,13:30,short,2834.58,2837.3,2826.44,2837.3,30,-30.0,-1.0,sl,2025-02-04 14:25:00
2025-02-11,Tuesday,13:30,long,2891.33,2889.66,2896.34,2896.34,30,90.0,3.0,tp,2025-02-11 13:40:00
2025-02-14,Friday,13:30,long,2933.06,2929.32,2944.29,2929.32,30,-30.0,-1.0,sl,2025-02-14 13:40:00
2025-02-18,Tuesday,13:30,long,2918.44,2916.14,2925.34,2925.34,30,90.0,3.0,tp,2025-02-18 14:45:00
2025-02-19,Wednesday,13:30,long,2941.14,2939.22,2946.92,2939.22,30,-30.0,-1.0,sl,2025-02-19 13:40:00
2025-02-20,Thursday,13:30,long,2947.53,2943.75,2958.86,2943.75,30,-30.0,-1.0,sl,2025-02-20 13:40:00
2025-02-25,Tuesday,13:30,long,2931.81,2929.87,2937.64,2937.64,30,90.0,3.0,tp,2025-02-25 13:45:00
2025-02-26,Wednesday,13:30,short,2911.52,2913.18,2906.56,2906.56,30,90.0,3.0,tp,2025-02-26 13:55:00
2025-03-04,Tuesday,13:30,short,2921.73,2926.78,2906.57,2906.57,30,90.0,3.0,tp,2025-03-04 14:55:00
2025-03-11,Tuesday,13:30,long,2915.13,2914.15,2918.07,2918.07,30,90.0,3.0,tp,2025-03-11 13:40:00
2025-03-12,Wednesday,13:30,short,2910.0,2913.65,2899.05,2913.65,30,-30.0,-1.0,sl,2025-03-12 13:45:00
2025-03-13,Thursday,13:30,long,2947.32,2946.48,2949.82,2949.82,30,90.0,3.0,tp,2025-03-13 13:40:00
2025-03-14,Friday,13:30,short,2988.34,2990.66,2981.38,2990.66,30,-30.0,-1.0,sl,2025-03-14 13:40:00
2025-03-18,Tuesday,13:30,short,3033.2,3034.83,3028.31,3028.31,30,90.0,3.0,tp,2025-03-18 13:40:00
2025-03-19,Wednesday,13:30,short,3029.09,3031.54,3021.74,3031.54,30,-30.0,-1.0,sl,2025-03-19 13:50:00
2025-03-20,Thursday,13:30,long,3035.76,3033.27,3043.25,3033.27,30,-30.0,-1.0,sl,2025-03-20 13:40:00
2025-03-21,Friday,13:30,short,3024.44,3026.84,3017.25,3017.25,30,90.0,3.0,tp,2025-03-21 13:40:00
2025-03-25,Tuesday,13:30,long,3025.31,3024.41,3027.99,3027.99,30,90.0,3.0,tp,2025-03-25 13:40:00
2025-03-26,Wednesday,13:30,short,3022.97,3023.96,3019.99,3019.99,30,90.0,3.0,tp,2025-03-26 13:40:00
2025-03-27,Thursday,13:30,short,3038.02,3039.67,3033.08,3039.67,30,-30.0,-1.0,sl,2025-03-27 13:55:00
2025-03-28,Friday,13:30,short,3073.35,3077.58,3060.64,3077.58,30,-30.0,-1.0,sl,2025-03-28 13:40:00
2025-04-01,Tuesday,13:30,long,3133.01,3131.09,3138.8,3131.09,30,-30.0,-1.0,sl,2025-04-01 13:50:00
2025-04-08,Tuesday,13:30,short,3011.87,3012.92,3008.72,3008.72,30,90.0,3.0,tp,2025-04-08 13:40:00
2025-04-09,Wednesday,13:30,long,3072.57,3071.19,3076.71,3076.71,30,90.0,3.0,tp,2025-04-09 13:40:00
2025-04-15,Tuesday,13:30,short,3220.26,3222.43,3213.77,3213.77,30,90.0,3.0,tp,2025-04-15 13:50:00
2025-04-16,Wednesday,13:30,short,3302.58,3305.22,3294.65,3305.22,30,-30.0,-1.0,sl,2025-04-16 13:45:00
2025-04-17,Thursday,13:30,long,3325.38,3322.85,3333.0,3322.85,30,-30.0,-1.0,sl,2025-04-17 13:45:00
2025-04-22,Tuesday,13:30,short,3434.0,3436.9,3425.29,3425.29,30,90.0,3.0,tp,2025-04-22 13:40:00
2025-04-23,Wednesday,13:30,short,3293.62,3305.03,3259.4,3305.03,30,-30.0,-1.0,sl,2025-04-23 16:45:00
2025-04-24,Thursday,13:30,short,3322.2,3327.42,3306.52,3327.42,30,-30.0,-1.0,sl,2025-04-24 14:45:00
2025-04-25,Friday,13:30,long,3274.63,3266.99,3297.56,3297.56,30,90.0,3.0,tp,2025-04-25 19:30:00
